2,1,2,3370
2,1,4,3371
2,0,4,3374
2,0,2,3375
2,1,4,3376
2,1,2,3377
2,1,4,3379
2,1,2,3380
2,0,2,3381
1,0,2,3382
1,0,4,3384
1,1,4,3386
1,1,2,3387
1,1,2,3389
1,1,4,3390
1,0,4,3391
1,1,4,3392
1,0,2,3395
2,0,4,3396
2,0,4,3399
2,1,2,3401
2,1,4,3402
2,1,2,3403
2,0,2,3406
2,0,4,3407
2,1,4,3409
2,1,2,3410
1,0,4,3411
1,0,2,3413
1,1,2,3415
1,1,4,3416
1,1,2,3418
1,0,4,3420
2,1,4,3421
2,0,2,3423
2,0,4,3424
1,1,2,3425
1,0,2,3426
1,0,4,3428
1,1,4,3429
1,0,4,3430
1,0,2,3431
2,0,2,3432
2,1,4,3433
2,0,4,3437
2,0,2,3438
2,1,4,3439
2,0,2,3440
1,1,2,3441
2,1,2,3443
2,0,2,3444
2,0,4,3446
2,1,2,3447
2,1,4,3448
0,0,4,3449
0,1,4,3451
0,1,2,3452
1,1,4,3453
1,0,2,3454
1,1,4,3456
1,0,2,3458
1,0,4,3459
1,1,4,3460
1,1,2,3461
1,0,2,3462
1,0,4,3464
1,0,4,3465
1,0,2,3466
1,1,2,3467
0,0,2,3470
0,0,2,3471
0,0,4,3472
1,0,4,3476
2,1,2,3478
2,1,4,3479
2,0,4,3480
2,0,4,3481
2,1,2,3482
2,0,2,3483
1,1,2,3485
0,0,4,3591
0,0,2,3593
0,1,4,3595
0,1,2,3596
0,1,4,3597
0,1,2,3599
0,0,2,3601
0,0,4,3602
0,1,4,3603
0,1,2,3604
0,1,4,3606
0,0,2,3608
0,0,2,3609
2,1,4,3611
0,1,2,3727
0,1,4,3728
0,1,2,3729
0,0,4,3731
0,0,4,3732
0,1,4,3734
0,1,2,3736
0,0,2,3738
0,0,4,3739

