1,2,1,2,3370
1,2,1,4,3371
1,2,0,4,3374
1,2,0,2,3375
1,2,1,4,3376
1,2,1,2,3377
1,2,1,4,3379
1,2,1,2,3380
1,2,0,2,3381
4,1,0,2,3382
4,1,0,4,3384
4,1,1,4,3386
4,1,1,2,3387
4,1,1,2,3389
4,1,1,4,3390
4,1,0,4,3391
4,1,1,4,3392
4,1,0,2,3395
1,2,0,4,3396
1,2,0,4,3399
1,2,1,2,3401
0,2,1,4,3402
0,2,1,2,3403
0,2,0,2,3406
0,2,0,4,3407
0,2,1,4,3409
0,2,1,2,3410
2,1,0,4,3411
2,1,0,2,3413
2,1,1,2,3415
2,1,1,4,3416
2,1,1,2,3418
2,1,0,4,3420
0,2,1,4,3421
0,2,0,2,3423
0,2,0,4,3424
4,1,1,2,3425
4,1,0,2,3426
4,1,0,4,3428
4,1,1,4,3429
4,1,0,4,3430
4,1,0,2,3431
1,2,0,2,3432
1,2,1,4,3433
1,2,0,4,3437
1,2,0,2,3438
1,2,1,4,3439
1,2,0,2,3440
2,1,1,2,3441
0,2,1,2,3443
0,2,0,2,3444
0,2,0,4,3446
0,2,1,2,3447
0,2,1,4,3448
3,0,0,4,3449
3,0,1,4,3451
3,0,1,2,3452
2,1,1,4,3453
2,1,0,2,3454
2,1,1,4,3456
2,1,0,2,3458
2,1,0,4,3459
2,1,1,4,3460
2,1,1,2,3461
2,1,0,2,3462
2,1,0,4,3464
2,1,0,4,3465
2,1,0,2,3466
2,1,1,2,3467
3,0,0,2,3470
3,0,0,2,3471
3,0,0,4,3472
2,1,0,4,3476
0,2,1,2,3478
0,2,1,4,3479
0,2,0,4,3480
0,2,0,4,3481
0,2,1,2,3482
0,2,0,2,3483
2,1,1,2,3485
5,0,0,4,3591
5,0,0,2,3593
3,0,1,4,3595
3,0,1,2,3596
5,0,1,4,3597
5,0,1,2,3599
3,0,0,2,3601
3,0,0,4,3602
3,0,1,4,3603
5,0,1,2,3604
5,0,1,4,3606
5,0,0,2,3608
5,0,0,2,3609
0,2,1,4,3611
3,0,1,2,3727
3,0,1,4,3728
3,0,1,2,3729
5,0,0,4,3731
5,0,0,4,3732
5,0,1,4,3734
5,0,1,2,3736
5,0,0,2,3738
5,0,0,4,3739

