2,1,2,6,6,0.931694,8,6749
2,1,2,2,1,0.930805,8,6749
2,1,4,1,1,0.713933,6,6749
2,1,4,1,1,0.693239,6,6749
2,1,4,3,0,0.689880,9,6749
2,1,4,4,2,0.617622,7,6749
2,0,4,5,2,0.588877,7,6749
2,0,4,5,1,0.500074,8,6749
2,0,4,1,0,0.650862,7,6749
2,0,4,2,0,0.563688,7,6749
2,0,2,5,1,0.543192,9,6749
2,0,2,3,2,0.544821,5,6749
2,1,4,1,1,0.799032,7,6749
2,1,4,2,2,0.835581,6,6749
2,1,4,2,2,0.788364,6,6749
2,1,4,2,2,0.840273,6,6749
2,1,2,6,3,0.831975,8,6749
2,1,2,3,2,0.820714,7,6749
2,1,4,2,2,0.622956,10,6749
2,1,4,1,1,0.715415,10,6749
2,1,4,3,2,0.608436,7,6749
2,1,4,2,1,0.677236,10,6749
2,1,2,7,7,0.968143,8,6749
2,1,2,1,1,0.948733,8,6749
2,0,2,1,1,0.911839,7,6749
2,0,2,6,4,0.929471,7,6749
1,0,2,1,1,0.909764,6,6749
1,0,2,6,4,0.927397,8,6749
1,0,4,2,0,0.561367,12,6749
1,0,4,6,4,0.513558,11,6749
1,0,4,3,3,0.531289,10,6749
1,0,4,4,2,0.385934,9,6749
1,1,4,2,0,0.624784,5,6749
1,1,4,1,1,0.717193,8,6749
1,1,4,3,3,0.708698,7,6749
1,1,4,1,1,0.668889,5,6749
1,1,2,2,2,0.972737,2,6749
1,1,2,0,0,0.975552,2,6749
1,1,2,0,0,0.847385,4,6749
1,1,2,4,2,0.894651,4,6749
1,1,4,1,1,0.859831,10,6749
1,1,4,6,6,0.854695,8,6749
1,1,4,0,0,0.836420,7,6749
1,1,4,1,1,0.853707,7,6749
1,0,4,5,4,0.644737,9,6749
1,0,4,2,1,0.695609,10,6749
1,0,4,2,1,0.692103,9,6749
1,0,4,2,2,0.656295,10,6749
1,1,4,1,1,0.815331,6,6749
1,1,4,0,0,0.815578,4,6749
1,1,4,3,3,0.827283,8,6749
1,1,4,3,1,0.778980,6,6749
1,0,2,2,2,0.775522,10,6749
1,0,2,7,4,0.773892,11,6749
2,0,4,2,1,0.740258,7,6749
2,0,4,0,0,0.761742,7,6749
2,0,4,0,0,0.781548,7,6749
2,0,4,5,4,0.705487,8,6749
2,0,4,0,0,0.675162,6,6749
2,0,4,2,0,0.695757,6,6749
2,0,4,3,2,0.738529,5,6749
2,0,4,3,0,0.645528,8,6749
2,1,2,7,4,0.717398,8,6748
2,1,2,3,0,0.717991,8,6748
2,1,4,2,1,0.924927,4,6749
2,1,4,2,1,0.933768,4,6749
2,1,4,2,1,0.925619,5,6749
2,1,4,0,0,0.904727,4,6749
2,1,2,0,0,0.879982,2,6749
2,1,2,2,0,0.887687,2,6749
2,0,2,3,3,0.919840,7,6749
2,0,2,4,3,0.919395,8,6749
2,0,4,4,2,0.709587,7,6749
2,0,4,0,0,0.702178,6,6749
2,0,4,0,0,0.795673,7,6749
2,0,4,3,2,0.748605,8,6749
2,1,4,2,1,0.831037,8,6749
2,1,4,0,0,0.862548,8,6749
2,1,4,1,0,0.790389,8,6749
2,1,4,6,5,0.820023,7,6749
2,1,2,1,1,0.930656,3,6749
2,1,2,2,1,0.939102,3,6749
1,0,4,6,3,0.462686,9,6749
1,0,4,1,0,0.549118,6,6749
1,0,4,1,1,0.579296,7,6749
1,0,4,4,1,0.495333,9,6749
1,0,2,2,2,0.634464,3,6749
1,0,2,4,0,0.654912,6,6749
1,1,2,7,7,0.943992,8,6749
1,1,2,1,1,0.923396,8,6749
1,1,4,0,0,0.688349,13,6749
1,1,4,5,5,0.693535,15,6749
1,1,4,8,6,0.691806,14,6749
1,1,4,3,1,0.573320,11,6749
1,1,2,4,3,0.854349,6,6749
